,Dec-14,Oct-14,Aug-14,Jun-14,Apr-14,Feb-14,Dec-13,Oct-13,Aug-13,Apr-13,Feb-13,Dec-12,Oct-12,Oct-12,Aug-12,Jun-12,Jun-12,Apr-12,12/1/11,10/1/11,8/1/11,6/1/11,4/1/11,2/1/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve A Lot,3,3,6,4,5,4,2,3,3,3,3,4,5,4,3,3,3,4,3,4,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve some,21,29,30,35,32,26,34,28,32,32,30,36,34,34,33,34,36,42,34,35,35,31,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worsen some,47,40,41,33,36,36,29,37,32,32,30,29,30,32,30,29,31,24,32,29,31,35,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worsen a lot,13,8,7,6,5,9,6,8,6,6,7,6,7,6,8,8,5,5,7,7,7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,15,20,17,22,22,25,29,25,27,26,29,24,25,23,26,25,25,25,24,26,25,26,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
