Date,Rate,ISO Code From,ISO Code To
"1/5/2015 Monday",60.20230,USD,RUB
"1/6/2015 Tuesday",62.44640,USD,RUB
"1/7/2015 Wednesday",62.88320,USD,RUB
"1/8/2015 Thursday",60.24450,USD,RUB
"1/9/2015 Friday",61.86950,USD,RUB
"1/10/2015 Saturday",61.72900,USD,RUB
"1/11/2015 Sunday",61.42112,USD,RUB
"1/12/2015 Monday",63.01450,USD,RUB
"1/13/2015 Tuesday",65.73450,USD,RUB
"1/14/2015 Wednesday",66.01550,USD,RUB
"1/15/2015 Thursday",65.33350,USD,RUB
"1/16/2015 Friday",65.02000,USD,RUB
"1/17/2015 Saturday",65.28280,USD,RUB
"1/18/2015 Sunday",65.27712,USD,RUB
"1/19/2015 Monday",64.86450,USD,RUB
"1/20/2015 Tuesday",65.42950,USD,RUB
"1/21/2015 Wednesday",65.28750,USD,RUB
"1/22/2015 Thursday",64.50550,USD,RUB
"1/23/2015 Friday",63.77950,USD,RUB
"1/24/2015 Saturday",64.04950,USD,RUB
"1/25/2015 Sunday",64.04911,USD,RUB
"1/26/2015 Monday",66.33450,USD,RUB
"1/27/2015 Tuesday",66.86450,USD,RUB
"1/28/2015 Wednesday",67.94950,USD,RUB
"1/29/2015 Thursday",69.15450,USD,RUB
"1/30/2015 Friday",70.23050,USD,RUB
"1/31/2015 Saturday",69.65950,USD,RUB
"2/1/2015 Sunday",69.61340,USD,RUB
"2/2/2015 Monday",68.32511,USD,RUB
"2/3/2015 Tuesday",65.05423,USD,RUB
"2/4/2015 Wednesday",67.83375,USD,RUB
"2/5/2015 Thursday",66.70609,USD,RUB
"2/6/2015 Friday",66.47788,USD,RUB
"2/7/2015 Saturday",66.52464,USD,RUB
"2/8/2015 Sunday",66.50901,USD,RUB
"2/9/2015 Monday",65.87314,USD,RUB
"2/10/2015 Tuesday",65.45872,USD,RUB
"2/11/2015 Wednesday",65.52432,USD,RUB
"2/12/2015 Thursday",65.27991,USD,RUB
"2/13/2015 Friday",63.37239,USD,RUB
"2/14/2015 Saturday",63.34970,USD,RUB
"2/15/2015 Sunday",63.31573,USD,RUB
"2/16/2015 Monday",63.20042,USD,RUB
"2/17/2015 Tuesday",63.80208,USD,RUB
"2/18/2015 Wednesday",61.40494,USD,RUB
"2/19/2015 Thursday",61.90909,USD,RUB
"2/20/2015 Friday",61.83563,USD,RUB
"2/21/2015 Saturday",61.87464,USD,RUB
"2/22/2015 Sunday",61.86231,USD,RUB
"2/23/2015 Monday",63.78210,USD,RUB
"2/24/2015 Tuesday",63.10252,USD,RUB
"2/25/2015 Wednesday",61.36485,USD,RUB
"2/26/2015 Thursday",61.15496,USD,RUB
"2/27/2015 Friday",61.60150,USD,RUB
