dow,0.0,0.7,0.9,1.0,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.9,3.0,3.1,3.4,4.0,4.1,4.6,5.0,5.2,5.3,5.6,6.5,12.0,14.8,26.2
0,11,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0
1,12,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2,14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,15,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,10,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,1,0,0,0,0
5,13,1,0,0,0,1,1,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
6,12,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
